smiles,pACT
C=CC1(C)CC(OC(=O)CSc2ncnc(NCCNCC)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0625
C=CC1(C)CC(OC(=O)CSc2ncnc(NCCN3CCCC3)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0625
C=CC1(C)CC(OC(=O)CSc2ncnc(NCCN3CCOCC3)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0625
C=CC1(C)CC(OC(=O)CSc2ccccc2NC(=O)Nc2cccc(F)c2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2ccccc2NC(=O)Nc2ccc(Br)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
C=CC1(C)CC(OC(=O)CSc2ccccc2NC(=O)Nc2cccc(Cl)c2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2ccccc2NC(=O)Nc2cccc(C#N)c2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2ccccc2NC(=O)Nc2cccc(C)c2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2ccccc2NC(=O)Nc2ccc(F)c(C)c2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2ccccc2NC(=O)Nc2cc(Cl)ccc2OC)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2ccccc2NC(=O)NC2CCCC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2ccccc2NC(=O)NC2CCCCC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2ccccc2NC(=O)NCCCCCC)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
C=CC1(C)CC(OC(=O)CSc2cccc(NC(=O)Nc3cccc(F)c3)c2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0625
C=CC1(C)CC(OC(=O)CSc2cccc(NC(=O)Nc3ccc(Br)cc3)c2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0625
C=CC1(C)CC(OC(=O)CSc2cccc(NC(=O)Nc3ccc(C#N)cc3)c2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0313
C=CC1(C)CC(OC(=O)CSc2cccc(NC(=O)Nc3cccc(C)c3)c2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0313
C=CC1(C)CC(OC(=O)CSc2cccc(NC(=O)Nc3cccc(F)c3C)c2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0625
C=CC1(C)CC(OC(=O)CSc2cccc(NC(=O)Nc3ccc(Cl)cc3OC)c2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2cccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2cccc(NC(=O)NC3CCCC3)c2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2cccc(NC(=O)NC3CCCCC3)c2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0625
C=CC1(C)CC(OC(=O)CSc2cccc(NC(=O)NCCCCCC)c2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2ccc(NC(=O)Nc3ccc(F)cc3)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0625
C=CC1(C)CC(OC(=O)CSc2ccc(NC(=O)Nc3cccc(C#N)c3)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0625
C=CC1(C)CC(OC(=O)CSc2ccc(NC(=O)Nc3cccc(C)c3)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2ccc(NC(=O)Nc3ccc(F)c(C)c3)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0625
C=CC1(C)CC(OC(=O)CSc2ccc(NC(=O)Nc3cc(Cl)ccc3OC)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2ccc(NC(=O)NC3CCCC3)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0625
C=CC1(C)CC(OC(=O)CSc2ccc(NC(=O)NC3CCCCC3)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2nc3ccccc3o2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2nc3cccc(C)c3o2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2nc3c(F)cccc3o2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2nc3cc(C(=O)OC)ccc3o2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
C=CC1(C)CC(OC(=O)CSc2nc3cc(OC)ccc3o2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2nc3cc(C(=O)O)ccc3o2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2nnc(-c3ccco3)[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
C=CC1(C)CC(OC(=O)CSc2nnc(-c3cccs3)[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2nnc(-c3ccccn3)[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2nnc(-c3cccnc3)[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2nnc(-c3cnccn3)[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2nnc(-c3ccccc3)[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2nnc(-c3cccc(O)c3)[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0625
C=CC1(C)CC(OC(=O)CSc2nnc(-c3cc(F)cc(F)c3)[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2nnc(C3CC3)[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
C=CC1(C)CC(OC(=O)CSc2nnc(C=Cc3ccccc3)[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
C=CC1(C)CC(OC(=O)CSc2nnc(CCc3ccccc3)[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2nnc[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2nnc(C)[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2nnc(CC)[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
C=CC1(C)CC(OC(=O)CSc2nc3ccccc3[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2nc3c(C)cccc3[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
C=CC1(C)CC(OC(=O)CSc2nc3c(C)cc(C)cc3[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,1
C=CC1(C)CC(OC(=O)CSc2nc3cc(C(C)(C)C)ccc3[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
C=CC1(C)CC(OC(=O)CSc2nc3cc(OCC)ccc3[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
C=CC1(C)CC(OC(=O)CSc2nc3cc(OCC)ccc3[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0625
C=CC1(C)CC(OC(=O)CSc2nc3cc([N+](=O)[O-])ccc3[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2nc3cc(C#N)ccc3[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2nc3c(C(=O)OC)cccc3[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2nc3cc4ccccc4cc3[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,1
C=CC1(C)CC(OC(=O)CSc2nc3cc(F)c(F)cc3[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2nc3c(F)cc(F)cc3[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2nc3cc(OC(F)F)ccc3[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2nc3cc(Cl)c(Cl)cc3[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2nc3cc(F)c(Cl)cc3[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2nc3cc(C)c(Cl)cc3[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,1
C=CC1(C)CC(OC(=O)CN2CCN(C(=O)C(C)NC(=O)OC(C)(C)C)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,1
C=CC1(C)CC(OC(=O)CN2CCN(C(=O)C(CSC)NC(=O)OC(C)(C)C)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
C=CC1(C)CC(OC(=O)CN2CCN(C(=O)C(Cc3ccc(O)cc3)NC(=O)OC(C)(C)C)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CN2CCN(C(=O)C(N)Cc3ccc(O)cc3)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,1
C=CC1(C)CC(OC(=O)CN2CCN(C(=O)C3CCCN3)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,1
C=CC1(C)CC(OC(=O)CN(C)C)C2(C)C(C)CCC3([CH]C1O)CCC(=O)C32,0.5
C=CC1(C)CC(OC(=O)CN2CCC(O)C2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CN2CCCC(CO)C2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CN2CCOCC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
C=CC1(C)CC(OC(=O)CN2CCN(C)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,1
C=CC1(C)CC(OC(=O)C[N+](C)(C)C)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O.[I-],0.125
C=CC1(C)CC(OC(=O)C[N+]2(C)CCCC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O.[I-],0.25
C=CC1(C)CC(OC(=O)C[N+]2(C)CCC(O)C2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O.[I-],0.125
C=CC1(C)CC(OC(=O)C[N+]2(C)CCCC(CO)C2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O.[I-],1
C=CC1(C)CC(OC(=O)C[n+]2ccc(N(C)C)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O.[I-],0.25
C=CC1(C)CC(OC(=O)C[n+]2cccc3c2CCC3)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O.[I-],0.5
C=CC1(C)CC(OC(=O)CN2CCN(C(=O)C=Cc3ccccc3F)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CN2CCN(C(=O)C=Cc3ccccc3OC)CC2)C2(C)C(C)CCC3([CH]C1O)CCC(=O)C32,0.125
C=CC1(C)CC(OC(=O)CN2CCN(C(=O)C=Cc3ccc([N+](=O)[O-])cc3)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0625
C=CC1(C)CC(OC(=O)CN2CCN(C(=O)C=Cc3ccc(C(F)(F)F)cc3)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
C=CC1(C)CC(OC(=O)CN2CCN(C(=O)C=Cc3ccc(O)cc3)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0625
C=CC1(C)CC(OC(=O)CSc2nc(NC(=O)CN3CCCC3)c3cc[nH]c3n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0625
C=CC1(C)CC(OC(=O)CSc2nc(N)c3cc[nH]c3n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,1
C=CC1(C)CC(OC(=O)CSc2nc(NC(=O)CN3CCCCC3)c3cc[nH]c3n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0625
